breed_id,country_id
1,200
2,201
3,202
4,202
5,202
6,203
7,204
8,205
9,202
10,202
11,206
12,202
13,207
14,204
15,204
16,208
17,204
18,202
19,202
20,209
21,202
22,204
23,210
24,204
25,211
26,212
27,202
28,208
29,202
30,202
31,204
32,202
33,202
34,203
35,211
36,202
37,202
38,211
39,202
40,204
41,202
42,208
43,211
44,213
45,202
46,202
47,214
48,215
49,215
50,202
51,216
52,216
53,217
54,202
