name,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly,img_link,hypoallergenic,origin,length_from,length_to
Russian Blue,10.0,15.0,7.0,15.0,4,4,4,2,3,2,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_russian-blue.png,True,Russia,15,18
Savannah,17.0,20.0,8.0,20.0,4,3,5,5,4,4,5,5,https://dogell.b-cdn.net/uploads/breed/thumb_savannah.png,False,United States,13,20
Scottish Fold,11.0,14.0,6.0,13.0,5,3,3,3,5,2,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_scottish-fold.png,False,United Kingdom,10,12
Serengeti,10.0,15.0,8.0,15.0,4,1,3,4,4,4,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_serengeti.png,False,United States,15,18
Siamese Cat,8.0,15.0,6.0,14.0,5,2,3,4,4,4,5,4,https://dogell.b-cdn.net/uploads/breed/thumb_siamese.png,True,Thailand,15,20
Siberian,11.0,18.0,8.0,17.0,5,4,4,5,5,2,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_siberian.png,True,Russia,17,25
Singapura,11.0,15.0,4.0,7.0,5,2,4,4,4,4,5,4,https://dogell.b-cdn.net/uploads/breed/thumb_singapura.png,False,Singapore,9,11
Snowshoe,14.0,19.0,7.0,12.0,5,3,5,5,5,5,5,4,https://dogell.b-cdn.net/uploads/breed/thumb_snowshoe.png,False,United States,17,26
Sokoke,9.0,15.0,6.0,10.0,4,1,3,4,5,4,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_sokoke.png,False,United States,14,15
Somali,11.0,16.0,6.0,10.0,5,4,2,5,5,3,5,5,https://dogell.b-cdn.net/uploads/breed/thumb_somali.png,False,Somalia,11,14
Sphynx,8.0,14.0,6.0,12.0,5,1,2,4,5,2,4,5,https://dogell.b-cdn.net/uploads/breed/thumb_sphynx.png,True,Canada,13,15
Tonkinese,10.0,16.0,6.0,12.0,5,2,2,5,5,4,5,4,https://dogell.b-cdn.net/uploads/breed/thumb_tonkinese.png,False,Canada,12,15
Toyger,10.0,15.0,7.0,15.0,5,1,3,4,4,4,4,4,https://dogell.b-cdn.net/uploads/breed/thumb_toyger.png,False,United States,15,16
Turkish Angora,12.0,18.0,5.0,9.0,5,2,3,5,3,4,4,3,https://dogell.b-cdn.net/uploads/breed/thumb_turkish-angora.png,False,Turkey,14,17
Turkish Van,12.0,17.0,10.0,18.0,3,2,4,4,3,4,5,3,https://dogell.b-cdn.net/uploads/breed/thumb_turkish-van.png,False,Turkey,14,17
Ukrainian Levkoy,9.0,15.0,8.0,12.0,5,1,3,4,5,2,5,4,https://dogell.b-cdn.net/uploads/breed/thumb_ukrainian-levkoy.png,True,Ukraine,15,17
York Chocolate,13.0,15.0,10.0,18.0,4,4,3,4,4,2,4,3,https://dogell.b-cdn.net/uploads/breed/thumb_york-chocolate.png,False,United States,21,22
